positionId,jobTitle,jobType,responsibleMO,jobDescription,requirements,interviewLocation,deadline,publishedByUserId,status,grade,major,headcount
POS_2026041100000_01,Intro to IOT TA,grading,LGL,Grade weekly assignments,Familiar with basic IOT concepts,Room 101,2026-09-01,MO_1775665335271_1,OPEN,Year1,IOT,2
POS_2026041100000_02,Circuit Lab Assistant,Daily attendance,LGL,Check attendance for Lab sessions,Responsible and punctual,Lab 2,2026-09-05,MO_1775665335271_1,OPEN,Year1,EE,2
POS_2026041100000_03,Programming Fundamentals TA,Assess,LGL,Assess student mini-projects,Proficient in Python/Java,Room 205,2026-09-10,MO_1775665335271_1,OPEN,Year1,IST,2
POS_2026041100000_04,Telecom Basics Invigilator,invigilation,LGL,Invigilate mid-term exams,Punctual,Room 303,2026-10-15,MO_1775665335271_1,OPEN,Year1,TEM,3
POS_2026041100000_05,Advanced IOT Systems TA,and other tasks,LGL,Help with lab setup and Q&A,Good hands-on skills,TB3,2026-09-01,MO_1775665335271_1,OPEN,Year2,IOT,2
POS_2026041100000_06,Signals and Systems Grader,grading,LGL,Grade homeworks and quizzes,Strong math background,Room 102,2026-09-01,MO_1775665335271_1,OPEN,Year2,EE,2
POS_2026041100000_07,Data Structures TA,Assess,LGL,Assess coding logic and style,Excellent C++ skills,Online,2026-09-15,MO_1775665335271_1,OPEN,Year2,IST,3
POS_2026041100000_08,Network Protocols Assistant,Daily attendance,LGL,Manage classroom attendance,Good communication,Room 404,2026-09-20,MO_1775665335271_1,OPEN,Year2,TEM,3
POS_2026041100000_09,IOT Project Mentor,Assess,LGL,Mentor junior students on projects,Experience with Arduino/Raspberry Pi,Lab 5,2026-09-01,MO_1775665335271_1,OPEN,Year3,IOT,2
POS_2026041100000_10,Electromagnetics Grader,grading,LGL,Grade complex assignments,Solid understanding of EM fields,Room 105,2026-09-10,MO_1775665335271_1,OPEN,Year3,EE,2
POS_2026041100000_11,Algorithms Invigilator,invigilation,LGL,Invigilate final exams,Strict and fair,Exam Hall A,2026-12-01,MO_1775665335271_1,OPEN,Year3,IST,2
